OrdemBancaria,CredorDocumento,Credor_Nome,DatadoPagamento,CodigoFonteDeRecurso,CodigoDetalhamentoFr,DocumentodeLiquidacao,NUMERO_PROCESSO,CodigoUnidadeGestora,CodigoProjetoAtividade,CodigoNaturezaDaDespesa,NomeNaturezaDaDespesa,NomeElementoDeDespesa,Valor
2026160101OB00293,1.61732E+12,PREFEITURA MUNICIPAL DE SAPUCAIA,15/01/2026,1500100102,6361,2025160101DL011766,2024/753024,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,R$ 427.48
2026160101OB00337,5.0549E+12,SECRETARIA DE ESTADO DA FAZENDA,15/01/2026,1500100102,6360,2023160101DL021391,2023/1287754,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,"R$ 1,800.87"
2026160101OB00348,5.0549E+12,SECRETARIA DE ESTADO DA FAZENDA,15/01/2026,1500100102,6360,2023160101DL021391,2023/1287754,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,"R$ 5,230.66"
2026160101OB00398,8.32114E+13,PREFEITURA MUNICIPAL DE GOIANESIA DO PARA,16/01/2026,1500100102,6360,2024160101DL017684,2023/1337346,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,R$ 174.22
2026160101OB00401,8.32114E+13,PREFEITURA MUNICIPAL DE GOIANESIA DO PARA,16/01/2026,1500100102,6360,2024160101DL017703,2023/761589,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,R$ 174.22
2026160101OB00473,5.05501E+12,PREFEITURA MUNICIPAL DE BELEM,19/01/2026,1500100102,6360,2023160101DL020796,2023/1046149,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,R$ 970.62
2026160101OB00475,5.05501E+12,PREFEITURA MUNICIPAL DE BELEM,19/01/2026,1500100102,6360,2023160101DL020796,2023/1046149,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,"R$ 4,579.63"
2026160101OB00476,5.0549E+12,SECRETARIA DE ESTADO DA FAZENDA,19/01/2026,1500100102,6360,2023160101DL020796,2023/1046149,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,"R$ 23,880.80"
2026160101OB00684,2.29812E+13,PREFEITURA MUNICIPAL DE SAO JOAO DE PIRABAS,21/01/2026,1500100102,6360,2024160101DL017670,2024/128446,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,R$ 367.68
2026160101OB00688,2.29812E+13,PREFEITURA MUNICIPAL DE SAO JOAO DE PIRABAS,21/01/2026,1500100102,6360,2024160101DL017628,2024/128446,160101,XXXX,XXXXXXXX,XXXXXXXX,XXXXXX,R$ 367.68
